date,exchange_rate,inflation,google_trends,disruption_score,arrivals_lag1,arrivals_lag2,arrivals_lag3,arrivals_lag12,exchange_rate_lag1,exchange_rate_lag2,inflation_lag1,inflation_lag2,trends_lag1,trends_lag2,disruption_lag1,month_sin,month_cos,is_peak_season,quarter,arrivals,split
2019-12-01,0.029567053854276604,0.045580110497237564,0.7592592592592592,0.2,0.6990745312419767,0.46899106920673544,0.42886372344165363,1.0,0.025343189017951517,0.02798310454065478,0.04143646408839778,0.03867403314917127,0.6203703703703703,0.5092592592592592,0.2,0.4999999999999999,1.0,1.0,1.0,241663,train
2020-01-01,0.02745512143611395,0.06767955801104973,0.861111111111111,0.2,0.954552097610687,0.6990745312419767,0.46899106920673544,0.9647271190390609,0.029567053854276604,0.025343189017951517,0.045580110497237564,0.04143646408839778,0.7592592592592592,0.6203703703703703,0.2,0.75,0.9330127018922194,1.0,0.0,228434,train
2020-02-01,0.03537486800422385,0.0649171270718232,0.6296296296296295,0.2,0.9022984646619453,0.954552097610687,0.6990745312419767,0.995512878748978,0.02745512143611395,0.029567053854276604,0.06767955801104973,0.045580110497237564,0.861111111111111,0.7592592592592592,0.2,0.9330127018922193,0.75,1.0,0.0,207507,train
2020-03-01,0.06124604012671597,0.06077348066298342,0.18518518518518512,0.2,0.8196382653484432,0.9022984646619453,0.954552097610687,0.9650786628694668,0.03537486800422385,0.02745512143611395,0.0649171270718232,0.06767955801104973,0.6296296296296295,0.861111111111111,0.2,1.0,0.5,1.0,0.0,71370,train
2020-04-01,0.07655755015839494,0.05801104972375691,0.0,1.0,0.28190655254000296,0.8196382653484432,0.9022984646619453,0.6595396750787024,0.06124604012671597,0.03537486800422385,0.06077348066298342,0.0649171270718232,0.18518518518518512,0.6296296296296295,0.2,0.9330127018922194,0.2500000000000001,0.0,0.3333333333333333,0,train
2020-05-01,0.05860612460401271,0.055248618784530384,0.009259259259259245,1.0,0.0,0.28190655254000296,0.8196382653484432,0.14931527951684448,0.07655755015839494,0.06124604012671597,0.05801104972375691,0.06077348066298342,0.0,0.18518518518518512,1.0,0.75,0.06698729810778065,0.0,0.3333333333333333,0,train
2020-06-01,0.050158394931362205,0.04834254143646409,0.1018518518518518,1.0,0.0,0.0,0.28190655254000296,0.24913002776801269,0.05860612460401271,0.07655755015839494,0.055248618784530384,0.05801104972375691,0.009259259259259245,0.0,1.0,0.5000000000000001,0.0,0.0,0.3333333333333333,0,train
2020-07-01,0.05227032734952486,0.04419889502762431,0.12037037037037035,0.9,0.0,0.0,0.0,0.45701092945818805,0.050158394931362205,0.05860612460401271,0.04834254143646409,0.055248618784530384,0.1018518518518518,0.009259259259259245,1.0,0.2500000000000001,0.06698729810778059,0.0,0.6666666666666667,0,train
2020-08-01,0.05121436114044342,0.03729281767955801,0.14814814814814814,0.7000000000000001,0.0,0.0,0.0,0.5671586963648788,0.05227032734952486,0.050158394931362205,0.04419889502762431,0.04834254143646409,0.12037037037037035,0.1018518518518518,0.9,0.06698729810778081,0.24999999999999978,0.0,0.6666666666666667,0,train
2020-09-01,0.04910242872228099,0.03729281767955801,0.12037037037037035,0.6000000000000001,0.0,0.0,0.0,0.42886372344165363,0.05121436114044342,0.05227032734952486,0.03729281767955801,0.04419889502762431,0.14814814814814814,0.12037037037037035,0.7000000000000001,0.0,0.4999999999999999,0.0,0.6666666666666667,0,train
